example_idx,entity,true_type,length,context
72,ma pauvre amie,PER,3,"elle pleurait , ma pauvre amie , ma douce"
73,la date de notre séparation,TIME,5,"mien , avec la date de notre séparation !"
78,un jour de bonheur,TIME,4,"consolation , mettre un jour de bonheur dans sa triste"
87,du passé,TIME,2,à la religion du passé ; c '
88,les unes,FAC,2,' accoudaient disgracieusement les unes aux autres .
89,le clocher,FAC,2,Elle reconnut le clocher qui sonnait jadis
89,ses heures de repos ou de rêverie,TIME,7,qui sonnait jadis ses heures de repos ou de rêverie ; elle vit
90,du forgeron,PER,2,l ' enclume du forgeron retentir sous les
93,ces gens - là,PER,4,"ai parlé à ces gens - là , j '"
95,les laquais de bonne maison,PER,5,"hauteur qui caractérisent les laquais de bonne maison , elle s"
95,une figure nouvelle,PER,3,", pour qui une figure nouvelle était un grave"
95,un grave événement,TIME,3,figure nouvelle était un grave événement .
96,La maison de,FAC,3,La maison de Pauline n '
96,Pauline,PER,1,La maison de Pauline n ' avait
97,l ' époque,TIME,3,"conservé , de l ' époque où elle fut"
98,Elle,PER,1,sèchement : — Elle y est .
100,les pures scènes de sa jeunesse,TIME,6,"sa vie , les pures scènes de sa jeunesse ; mais ,"
100,son passé,TIME,2,ces témoins de son passé au luxe de
100,son existence présente,TIME,3,"au luxe de son existence présente , elle ne"
102,les hôtes du titre de salon,PER,6,", décorée par les hôtes du titre de salon ."
103,"Le carreau de briques rougeâtres bien lavées , les boiseries brunes soigneusement dégagées de poussière , la glace dont le cadre avait été doré jadis , les meubles massifs brodés au petit point par quelque aïeule de la famille , et deux ou trois tableaux de dévotion légués par l ' oncle , curé de la ville",TIME,57,"Le carreau de briques rougeâtres bien lavées , les boiseries brunes soigneusement dégagées de poussière , la glace dont le cadre avait été doré jadis , les meubles massifs brodés au petit point par quelque aïeule de la famille , et deux ou trois tableaux de dévotion légués par l ' oncle , curé de la ville , tout était"
103,la même place,LOC,3,précisément resté à la même place et dans le
106,philosophe,PER,1,vieille figure de philosophe ou d '
106,alchimiste,PER,1,ou d ' alchimiste brune et terreuse
115,le premier instant,TIME,3,"Dans le premier instant , son ancienne"
123,les personnes,PER,2,' est que les personnes qui vivent dans
125,les personnes,PER,2,"isolement , que les personnes que j '"
125,au milieu de mes rêveries,TIME,5,tout à coup au milieu de mes rêveries .
127,l ' apparition,TIME,3,", pour que l ' apparition ne s '"
150,la vieille femme aveugle,PER,4,", et vit la vieille femme aveugle étendue sur son"
155,Causons,PER,1,"— Causons , lui dit"
161,ce monde inconnu,TIME,3,"suivre , dans ce monde inconnu où malgré moi"
172,province,LOC,1,se retirer en province avec sa mère
173,"l ' aînée de ses élèves ,",PER,7,"étroite amitié avec l ' aînée de ses élèves , Pauline , âgée"
173,quinze ans,TIME,2,", âgée de quinze ans comme elle ."
174,des filles d ' un banquier,PER,6,l ' éducation des filles d ' un banquier .
175,mademoiselle Hippolyte Clairon,PER,3,"charmants Mémoires de mademoiselle Hippolyte Clairon , célèbre comédienne"
175,du siècle dernier,TIME,3,", célèbre comédienne du siècle dernier ."
179,femme,PER,1,"ses douleurs de femme , ses déceptions"
181,midi,TIME,1,au coup de midi l ' aveugle
181,les personnes,PER,2,être ; car les personnes qui ont vécu
186,Qui,PER,1,— Qui donc ? reprit
187,Devinez,PER,1,"— Devinez , dit Pauline"
190,nos dames,PER,2,"est aucune de nos dames ; car ,"
202,le temps,TIME,2,laissez - moi le temps de me remettre
203,mademoiselle … ou madame,PER,4,"de chagrin , mademoiselle … ou madame … Comment vous"
205,moi,PER,1,ils voient en moi quelque chose d
206,mon chocolat de santé,PER,4,"apporte - moi mon chocolat de santé , et offres"
211,aux heures de sa dépendance,TIME,5,"; mais , aux heures de sa dépendance , elle savait"
212,le courant de la journée,TIME,5,cette remarque dans le courant de la journée .
214,tous les instants,TIME,3,"admirable sacrifice de tous les instants , Pauline laissait"
215,l ' une,PER,3,être ainsi attachées l ' une à l '
215,un être moribond et un être vivant,PER,7,"' autre , un être moribond et un être vivant : l '"
215,l ' un,PER,3,être vivant : l ' un effrayé des mouvements
215,celui qui pouvait à chaque instant lui enlever son dernier souffle,PER,11,des mouvements de celui qui pouvait à chaque instant lui enlever son dernier souffle et l '
216,ses mérites,PER,2,' ajouter à ses mérites .
220,au premier moment,TIME,3,"poésie , dont au premier moment elle avait ,"
221,une vierge catholique des anciens jours,PER,6,"son martyre comme une vierge catholique des anciens jours , voir la"
221,la mère,PER,2,"jours , voir la mère heureuse aussi ,"
226,famille,PER,1,"univers sert de famille ) , elle"
228,La mère de,PER,3,"La mère de Pauline , quoique"
228,Pauline,PER,1,"La mère de Pauline , quoique remplie"
229,son entourage habituel,PER,3,si différent de son entourage habituel et de si
231,des chevaux de poste,VEH,4,"effroi , demander des chevaux de poste ."
234,quinze jours de séparation,TIME,4,"sœur , après quinze jours de séparation ( la première"
235,ses chevaux,VEH,2,et ne commanda ses chevaux que pour le
235,le lendemain,TIME,2,chevaux que pour le lendemain au soir .
235,au soir,TIME,2,pour le lendemain au soir .
236,son ancienne connaissance,PER,3,"phrase amicale pour son ancienne connaissance , la mère"
236,Laurence,PER,1,la mère de Laurence .
237,une bien excellente personne,PER,4,"c ' était une bien excellente personne , spirituelle ,"
240,cette occasion,TIME,2,"trois lettres à cette occasion , et Dieu"
242,l ' une,PER,3,pouvoir rien faire l ' une pour l '
243,ma bonne madame D …,PER,5,"excellente mère , ma bonne madame D … , et ,"
244,Tu,PER,1,— Tu as toujours été
247,l ' aventure,TIME,3,le bruit de l ' aventure qui avait amené
247,route de Paris,FAC,3,"- Front , route de Paris , une dame"
247,une,PER,1,"de Paris , une dame en chaise"
247,dame,TIME,1,"Paris , une dame en chaise de"
247,route de Lyon,FAC,3,"à Villiers , route de Lyon , s '"
251,au café,FAC,2,partie de billard au café situé justement en
252,de Laurence,PER,2,toilette de voyage de Laurence était pourtant d
252,"la femme de Paris , et la femme artiste",PER,9,"goût ; mais la femme de Paris , et la femme artiste surtout , donne"
253,Toutes les dames des maisons voisines,PER,6,Toutes les dames des maisons voisines se collèrent à
257,Le secrétaire de,PER,3,Le secrétaire de la mairie décida
257,la mairie,FAC,2,Le secrétaire de la mairie décida qu '
261,son départ,TIME,2,"ravisant et remettant son départ au lendemain ,"
261,au moment,TIME,2,passe - port au moment où elle redemanderait
262,des citadins de,PER,3,de la curiosité des citadins de Saint - Front
262,Saint - Front,GPE,3,"des citadins de Saint - Front , et leur"
263,une émeute,TIME,2,le maire craignit une émeute ; le procureur
263,tout le jour,TIME,3,sur le dos tout le jour .
265,gendarme,PER,1,puis envoyer un gendarme pour examiner brutalement
267,le substitut,PER,2,"disait le substitut , jeune magistrat"
268,Vous,PER,1,— Vous voulez que je
272,au plus petit de ses enfants,PER,6,"mémoire jusqu ' au plus petit de ses enfants , l '"
273,madame D … et,PER,4,retira que lorsque madame D … et Pauline lui eurent
273,Pauline,PER,1,D … et Pauline lui eurent promis
274,Le dîner,TIME,2,Le dîner fut fort gai
274,quelques heures d ' enjouement,TIME,5,en lui donnant quelques heures d ' enjouement .
275,au dessert,TIME,2,"et même , au dessert , elle consentit"
280,une visite,TIME,2,approche d ' une visite .
281,madame D …,PER,3,par hasard voir madame D … Elle se fût
285,une seconde visite,TIME,3,"minutes après , une seconde visite étant arrivée ,"
288,la présence de,TIME,3,"et réservée , la présence de la mairesse contraignit"
289,La troisième visite,TIME,3,La troisième visite gêna beaucoup les
289,l ' arrivée de la quatrième,TIME,6,plus gênée par l ' arrivée de la quatrième .
290,le vieux salon de,FAC,4,"une heure , le vieux salon de Pauline fut rempli"
290,Pauline,PER,1,vieux salon de Pauline fut rempli comme
292,le passé,TIME,2,"avait eu dans le passé , on affectait"
292,l ' amie et la protégée de mademoiselle Mars,PER,9,' elle soit l ' amie et la protégée de mademoiselle Mars ?
293,On,PER,1,— On dit qu '
296,Lui,PER,1,— Lui avez - vous
296,Lui,PER,1,parlé ? — Lui parlez - vous
298,le dîner,TIME,2,"Un instant avant le dîner , elle avait"
298,les fées,PER,2,noix enchantées où les fées font tenir d
299,voyage,TIME,1,"métamorphoser ainsi en voyage , et l"
300,la ville,GPE,2,Les dames de la ville s ' étaient
300,l ' élégante des grandes villes,PER,6,elle copie exactement l ' élégante des grandes villes ; enfin toutes
301,province,LOC,1,attend guère en province à trouver chez
302,son gré,PER,2,et prévenante à son gré . Elle souriait
302,tous ces petits esprits,PER,4,où elle jetait tous ces petits esprits qui étaient venus
302,les uns,PER,2,"l ' insu les uns des autres ,"
302,le seul,PER,2,chacun croyant être le seul assez hardi pour
303,un côté,FAC,2,tenaient d ' un côté du salon comme
303,l ' autre côté,FAC,4,", et de l ' autre côté , entourée de"
303,"Pauline , de",PER,3,", entourée de Pauline , de sa mère et"
303,sa mère et de quelques hommes de bon sens,PER,9,"Pauline , de sa mère et de quelques hommes de bon sens qui ne craignaient"
306,le départ des plus désappointées,TIME,5,"Enfin , quand le départ des plus désappointées eut éclairci les"
306,la lingère,PER,2,"' adresse de la lingère , le prix"
306,le premier voyage,TIME,3,de spectacle pour le premier voyage qu ' on
307,l ' arrivée des premières visites,TIME,6,"À l ' arrivée des premières visites , l '"
308,son salon froid et abandonné depuis si longtemps,FAC,8,"ce monde remplir son salon froid et abandonné depuis si longtemps , elle prit"
309,mes infirmités,PER,2,"pensais , puisque mes infirmités ne font plus"
311,ma fête,TIME,2,"calendrier , et ma fête , que je"
317,du commencement,TIME,2,", elle fut du commencement à la fin"
317,la fin,TIME,2,du commencement à la fin admirable pour son
318,en province,LOC,2,"un courage héroïque en province , le blâme"
319,toute la soirée,TIME,3,à la sienne toute la soirée sur le bras
322,femme,PER,1,de femme à femme aussi bien que
322,homme,PER,1,' homme à homme .
323,les deux amies et,PER,4,"que , lorsque les deux amies et la mère aveugle"
324,cette petite épreuve,TIME,3,pour elle durant cette petite épreuve .
327,ces bégueules,PER,2,- dessus de ces bégueules .
331,la femme la plus droite,PER,5,. Laurence était la femme la plus droite avec les autres
335,un instant,TIME,2,"quitter d ' un instant , exigea qu"
337,Chaque moment,TIME,2,Chaque moment augmentait l '
340,leur premier entretien de la matinée,TIME,6,"réticences . Dans leur premier entretien de la matinée , elle avait"
346,une nymphe antique,PER,3,était belle comme une nymphe antique à la lueur
350,Les classiques,PER,2,Les classiques qui m '
351,Phèdre tout entière,PER,3,c ' est Phèdre tout entière … non pas
351,la Phèdre de Racine,PER,4,… non pas la Phèdre de Racine peut - être
351,celle d ' Euripide,PER,4,"être , mais celle d ' Euripide , disant :"
356,quelques instants de silence,TIME,4,Il se fit quelques instants de silence . Pauline fit
356,ses longues heures de silence et de solitude,TIME,8,"broderie qui remplissaient ses longues heures de silence et de solitude , et qui"
357,tant de belles années perdues,TIME,5,"fut effrayée de tant de belles années perdues , et il"
357,son temps le plus précieux,TIME,5,", comme de son temps le plus précieux , un usage"
361,l ' insomnie de la nuit précédente,TIME,7,"Fatiguée de l ' insomnie de la nuit précédente , calme d"
363,Elle,PER,1,"— Elle est heureuse ,"
367,trois jours,TIME,2,"Lyon , à trois jours de là ."
372,quelques heures,TIME,2,de la sienne quelques heures auparavant .
373,Elle,PER,1,disait : — Elle fait toutes ces
375,au soir,TIME,2,d ' hier au soir quand tu étais
379,un instant,TIME,2,", et en un instant Pauline se trouva"
380,trop de temps,TIME,3,"' y perdre trop de temps , et j"
385,cet instant,TIME,2,"au monde dans cet instant ) , elle"
387,cette fois,TIME,2,", et , cette fois , c '"
390,la veille,TIME,2,ses tresses de la veille .
391,son serin,PER,2,le chant de son serin qui s '
391,l ' oiseau sédentaire,PER,4,"et poussa dehors l ' oiseau sédentaire , qui ne"
395,l ' heure,TIME,3,jusqu ' à l ' heure où sa mère
398,sa famille et ses amis,PER,5,"de Constant , sa famille et ses amis Nous aurions pu"
398,trois ou quatre cents ans,TIME,5,", cette biographie trois ou quatre cents ans avant la naissance"
398,"des chevaliers de St - Jean de Jérusalem , des chefs d ' escadre , des compagnons de Charles Quint",PER,20,"héroïne , parler des chevaliers de St - Jean de Jérusalem , des chefs d ' escadre , des compagnons de Charles Quint , qui furent"
399,aïeux,PER,1,"lignée d ' aïeux , tous valeureux"
402,l ' Arve,LOC,3,la jonction de l ' Arve avec le Rhône
403,Rosalie et de sa famille,PER,5,"les papiers de Rosalie et de sa famille , ont fourni"
404,été,TIME,1,Voltaire habita en été Les Délices près
404,hiver,TIME,1,"Genève , en hiver tantôt Monrion ,"
404,faubourg du Petit - Chêne,GPE,5,"même , au faubourg du Petit - Chêne ."
406,le père de,PER,3,", qui deviendra le père de Rosalie ."
406,Rosalie,PER,1,le père de Rosalie .
407,le cinquième fils du général Constant de Rebecque,PER,8,Samuel était le cinquième fils du général Constant de Rebecque qui avait servi
410,mes parens,PER,2,le mariage de mes parens .
413,une seconde fille et un premier fils,PER,7,"Rosalie , puis une seconde fille et un premier fils qui reçurent les"
414,aux femmes,PER,2,"« Cher aux femmes , Samuel de"
416,de longues semaines,TIME,3,"très souvent passer de longues semaines à Lausanne ,"
418,l ' ami,PER,3,pièces composées par l ' ami de ses parents
418,ses parents,PER,2,' ami de ses parents .
419,nourrice,PER,1,on mettait en nourrice dans les environs
420,Lundi,TIME,1,vie mondaine « Lundi à 9 h
420,9 h .,TIME,3,« Lundi à 9 h .
423,minuit,TIME,1,« Vendredi à minuit . « Nous
426,Dimanche,TIME,1,» « Dimanche au soir .
426,au soir,TIME,2,» « Dimanche au soir . « Rosalie
426,cause,PER,1,"elle imagine et cause , elle est"
432,gendre,PER,1,absences fréquentes du gendre .
433,un appartement sis à la Cour de St - Pierre,FAC,10,"lui , dans un appartement sis à la Cour de St - Pierre , et c"
434,Mardi,TIME,1,"Samuel : « Mardi au soir ,"
434,au soir,TIME,2,": « Mardi au soir , par la"
436,dix heures,TIME,2,"affaires , à dix heures ma toilette ,"
436,onze heures,TIME,2,"toilette , à onze heures en chaise à"
437,carrosse vert,VEH,2,De là en carrosse vert à Ferney .
437,l ' imprimerie,FAC,3,de recevoir de l ' imprimerie pour envoyer à
441,un cloaque,FAC,2,"on est dans un cloaque , il faut"
443,le carrosse vert,VEH,3,là revenue dans le carrosse vert à la porte
443,une femme très gracieuse se soutenant à peine sur un bâton,PER,11,"et brûlant , une femme très gracieuse se soutenant à peine sur un bâton , en petit"
444,le pa,PER,2,"maman , et le pa ?"
445,le pa,PER,2,"» Hélas ! le pa , le pa"
445,le pa,PER,2,"le pa , le pa ! Et puis"
450,J ',PER,2,— J ' arrive du collège
450,Juste,PER,1,' ai mené Juste [ il avait
452,J ',PER,2,soir . « J ' ai furieusement fait
453,Juste,PER,1,"Vous trouverez Juste en bavaroise ,"
460,Au commencement de 1766,TIME,4,"Au commencement de 1766 , la maladie"
461,fille,PER,1,de mère à fille qui plaisaient tant
462,la jeune femme et,PER,4,relation existant entre la jeune femme et sa fille aînée
463,Le pa,PER,2,— Le pa ! le pa
463,le pa,PER,2,Le pa ! le pa ! a -
467,Beaucoup d ' années,TIME,4,"Beaucoup d ' années plus tard ,"
467,sa femme,PER,2,"le mariage si sa femme , jolie et"
467,des parens exigeans et tyranniques,PER,5,avait pas eu des parens exigeans et tyranniques et si une
472,les quatre enfants placés entre une grand ' mère et,PER,10,être triste pour les quatre enfants placés entre une grand ' mère et un père qui
472,un père,PER,2,' mère et un père qui ne s
473,Rosalie et ses frères et sœur,PER,6,Rosalie et ses frères et sœur habitaient tantôt Genève
478,St - Jean,GPE,3,") Oui , St - Jean était bien beau"
479,au nord,LOC,2,"' Ecluse , au nord le lac Léman"
479,le Rhône roulant ses ondes bleues entre des rives verdoyantes et boisées,LOC,12,comme premier plan le Rhône roulant ses ondes bleues entre des rives verdoyantes et boisées .
480,usine,FAC,1,"cheminée d ' usine , aucune fabrique"
484,un,PER,1,"échelon cède , un des enfants tombe"
484,des enfants,PER,2,"cède , un des enfants tombe sur celui"
492,peu d ' amies,PER,4,Rosalie eut peu d ' amies à Genève .
492,des Sociétés du dimanche,ORG,4,d ' aucune des Sociétés du dimanche qui réunissaient en
492,les jeunes Genevoises d ' alors,PER,6,en petites coteries les jeunes Genevoises d ' alors .
495,Le père de,PER,3,Le père de Rosalie ne faisait
495,Rosalie,PER,1,Le père de Rosalie ne faisait -
495,aux contemporaines de,PER,3,un peu peur aux contemporaines de ses filles ?
495,ses filles,PER,2,aux contemporaines de ses filles ?
500,Cinquante ans,TIME,2,"Cinquante ans plus tard ,"
500,un Genevois,PER,2,"demande d ' un Genevois , M ."
502,ses frères et sa sœur,PER,5,"comment , avec ses frères et sa sœur , elle jouait"
502,la chambre de travail du,FAC,5,et même dans la chambre de travail du philosophe .
502,philosophe,PER,1,de travail du philosophe .
503,jusqu ' aux enfans,PER,4,et recevait bien jusqu ' aux enfans .
505,un jour,TIME,2,Les voyant un jour ôter les hannetons
507,l ' âge de huit et de six ans,TIME,9,"… » À l ' âge de huit et de six ans , c '"
507,deux ans,TIME,2,à - dire deux ans après la mort
507,Juste et Charles,PER,3,"leur mère , Juste et Charles avaient été envoyés"
510,mes parens,PER,2,ans pour que mes parens fussent désabusés sur
513,les êtres de la maison,PER,5,"Comme je connaissais les êtres de la maison , mon premier"
513,mon premier soin,PER,3,"la maison , mon premier soin en arrivant fut"
513,mon pain,PER,2,"représentation et tenant mon pain , je crie"
513,Juste,PER,1,frère : « Juste !
515,château de M .,FAC,4,"à Marschlins , château de M ."
517,le refuge de,GPE,3,"Lalex fut encore le refuge de Samuel , non"
518,mon Père,PER,2,"« Depuis que mon Père fut veuf ,"
519,ses amis et sa société,PER,5,"de plaisir avec ses amis et sa société , et il"
522,les vignes et sur les montagnes,LOC,6,"nous courions dans les vignes et sur les montagnes , le soir"
524,notre Père,PER,2,frères et à notre Père étaient attendus et
528,philosophe,PER,1,y vivre en philosophe .
531,Il,PER,1,joie … » Il ne vint pas
533,l ' une des femmes les plus distinguées de,PER,9,' attacha à l ' une des femmes les plus distinguées de Genève et consacra
533,Genève,GPE,1,plus distinguées de Genève et consacra plusieurs
535,votre grand ' mère et des vôtres,PER,7,des nouvelles de votre grand ' mère et des vôtres .
549,son salon de,FAC,3,", étant dans son salon de Lausanne , elle"
549,Lausanne,GPE,1,"son salon de Lausanne , elle sonnait"
553,bien des années,TIME,3,"' elle écrivit bien des années plus tard ,"
556,celui qui l ' aimait avec tant de passion et de dévouement et qui l ' exprimait avec tant d ' esprit,PER,22,les sentimens de celui qui l ' aimait avec tant de passion et de dévouement et qui l ' exprimait avec tant d ' esprit .
558,les parens de Chateauvieux,PER,4,"Dardagny , chez les parens de Chateauvieux , en 1771"
560,du père,PER,2,suite la correspondance du père et des filles
561,les premières heures,TIME,3,"Dès les premières heures , le second"
561,St - Jean et de,GPE,5,aux foyers de St - Jean et de Genève plus d
561,Genève,GPE,1,Jean et de Genève plus d '
562,ex - belle - mère,PER,5,Les relations entre ex - belle - mère et gendre n
564,Rosalie et à,PER,3,qui suit à Rosalie et à sa sœur :
566,amoureux,PER,1,illusion d ' amoureux ] m '
569,la rue de l ' Hôtel - de - Ville,FAC,10,"' établirent à la rue de l ' Hôtel - de - Ville , maison Argand"
572,le carrosse de votre grand ' mère,VEH,7,"étiez hier dans le carrosse de votre grand ' mère , elle peut"
574,ses domestiques,PER,2,surtout aucun de ses domestiques chez nous .
575,les demoiselles Albanel,PER,3,"les envoyer chez les demoiselles Albanel , marchandes de"
575,la Fusterie,FAC,2,"de modes à la Fusterie , où nous"
581,notre Père,PER,2,: « Lorsque notre Père se remaria et
582,Mon Père,PER,2,Mon Père était heureux alors
584,Son mari et,PER,3,Son mari et les enfans de
584,les enfans de,PER,3,Son mari et les enfans de son mari étaient
584,son mari,PER,2,les enfans de son mari étaient ses premiers
584,ses premiers objets d ' intérêt et d ' affection,PER,10,"son mari étaient ses premiers objets d ' intérêt et d ' affection , et la"
587,L ' été et l ' automne,TIME,7,L ' été et l ' automne se passèrent en
590,ma vie,PER,2,plus heureuse de ma vie … » Ici
590,Rosalie et de sa sœur,PER,5,la vie de Rosalie et de sa sœur .
594,quatre jours,TIME,2,"7 décembre , quatre jours après le départ"
594,Tâche,PER,1,écrivait : « Tâche de bien voir
597,Du même,PER,2,Tronchin ! » Du même : « Mes
599,peu de parens,PER,3,"' amis , peu de parens , c '"
607,Pense,PER,1,"« Pense quelquefois , ma"
608,Dieu,PER,1,Dieu veuille exaucer nos
612,J ',PER,2,« J ' ai négligé de
615,famille,PER,1,"un deuil de famille , que M"
619,le règne de Louis XV,TIME,5,- dire sous le règne de Louis XV .
623,Le Paris d ' alors,GPE,5,Le Paris d ' alors ne ressemblait guère
624,des boulevards de nos jours,FAC,5,mais combien différents des boulevards de nos jours !
626,une promenade plantée de quatre lignes d ' arbres,FAC,9,Les boulevards sont une promenade plantée de quatre lignes d ' arbres et qui fait
627,Cette promenade de six lieues de long,FAC,7,Cette promenade de six lieues de long est bordée de
629,leur grand ' mère et de trois autres dames de,PER,10,"en compagnie de leur grand ' mère et de trois autres dames de Genève , nos"
629,Genève,GPE,1,"autres dames de Genève , nos voyageuses"
629,au soir,TIME,2,Paris le 9 au soir et eurent grand
630,un hôtel garni appelé Hôtel de Bayonne,FAC,7,"trouvèrent place dans un hôtel garni appelé Hôtel de Bayonne , rue St"
633,une femme fraîchement débarquée dans la capitale de la mode,PER,10,course d ' une femme fraîchement débarquée dans la capitale de la mode était destinée aux
635,Le charnier des Innocents,FAC,4,Le charnier des Innocents ! tel était
635,le Bon Marché du temps,FAC,5,! tel était le Bon Marché du temps .
636,au charnier des Saints - Innocens,FAC,6,", nous allâmes au charnier des Saints - Innocens faire quelques emplettes"
637,une longue allée autour d ' un cimetière,FAC,8,"C ' est une longue allée autour d ' un cimetière où , d"
637,Là,FAC,1,"mode … » Là , Mme Pictet"
637,un fiacre,VEH,2,- filles prirent un fiacre et allèrent un
637,les rues de,FAC,3,"promener pour voir les rues de Paris , puis"
637,Paris,GPE,1,"les rues de Paris , puis chez"
641,les filles de,PER,3,spectacle aussi attirait les filles de Samuel et de
641,Samuel et de,PER,3,les filles de Samuel et de Charlotte .
641,Charlotte,PER,1,Samuel et de Charlotte .
643,plusieurs amies de,PER,3,retrouvé à Paris plusieurs amies de leurs parents MMmes
643,leurs parents,PER,2,plusieurs amies de leurs parents MMmes de Luchet
643,"MMmes de Luchet , Favre , Necker , Des Barry , Diodati , de la Richardière , MM .",PER,19,"de leurs parents MMmes de Luchet , Favre , Necker , Des Barry , Diodati , de la Richardière , MM ."
647,loges,FAC,1,quatre rangs de loges . La musique
649,Adèle de Ponthieu,PER,3,"soir - là Adèle de Ponthieu , opéra nouveau"
650,ces petites provinciales venues à l ' opéra,PER,8,' amuser de ces petites provinciales venues à l ' opéra pour écouter la
655,un fiacre,VEH,2,nous avons pris un fiacre pour parcourir la
655,un quartier de,FAC,3,c ' est un quartier de Paris où l
655,Paris,GPE,1,un quartier de Paris où l '
657,jour de Noël,TIME,3,"Le 25 [ jour de Noël ] , nous"
658,minuit,TIME,1,la messe de minuit dans l '
658,l ' église de Notre - Dame,FAC,7,"de minuit dans l ' église de Notre - Dame , cathédrale de"
658,Paris,GPE,1,", cathédrale de Paris ."
659,la Comédie italienne,FAC,3,sommes allées à la Comédie italienne ; on jouait
660,l ' année,TIME,3,"dernier jour de l ' année , il fallait"
662,"boutiques de bijoutiers , de quincailliers , de mode",FAC,9,"sont garnies de boutiques de bijoutiers , de quincailliers , de mode , etc ."
665,un fiacre,VEH,2,Nous prenions quelquefois un fiacre le soir et
665,les boutiques au quai de la Volaille,FAC,7,nous promener devant les boutiques au quai de la Volaille ou voir Mme
665,Mme Favre et ses sœurs,PER,5,Volaille ou voir Mme Favre et ses sœurs .
666,On,PER,1,» On allait aussi sûrement
670,les rois de,PER,3,' on enterre les rois de France et leurs
670,France,GPE,1,les rois de France et leurs familles
672,des rois,PER,2,montrèrent les tombeaux des rois . Ils sont
678,quelque saint,PER,2,"les os de quelque saint , des croix"
679,la place de,FAC,3,"se termine par la place de Louis 15 ,"
679,Louis 15,PER,2,"la place de Louis 15 , qui n"
680,midi,TIME,1,"on dînait à midi ] , nous"
680,la Muette,FAC,2,"' aller à la Muette , petite maison"
682,L ' appartement,FAC,3,L ' appartement du Roi est
682,du Roi,PER,2,L ' appartement du Roi est meublé de
684,des guinguettes,FAC,2,Il y a des guinguettes de place en
684,place,FAC,1,"des guinguettes de place en place ,"
684,place,FAC,1,"de place en place , on y"
687,une mère de notre siècle,PER,5,étranges visites dont une mère de notre siècle priverait certainement ses
688,une maison de force et un hôpital,FAC,7,", qui est une maison de force et un hôpital ."
694,une sage matrone du XXme siècle,PER,6,"valu , dira une sage matrone du XXme siècle , n '"
695,une guinguette du faubourg Saint - Jacques,FAC,7,"dîner « dans une guinguette du faubourg Saint - Jacques , nommée Le"
698,les hystériques,PER,2,traitait pas encore les hystériques et qu '
698,les enfants trouvées,PER,3,où se trouvaient les enfants trouvées .
699,cinq cents jeunes filles,PER,4,est un autel cinq cents jeunes filles qui travaillent à
702,des monuments visités,FAC,3,fous enchaînés et des monuments visités en conscience .
