example_idx,entity,pred_type,length,context
57,ville,GPE,1,Dans une ville où les problèmes
57,aventuriers,PER,1,"algébriques , les aventuriers ont en leur"
58,bohémienne d ’ origine,PER,4,"famille eût été bohémienne d ’ origine , elle était"
58,haute,ORG,1,", que la haute société pouvait bien"
59,maison Lanty,FAC,2,énigmatique de la maison Lanty offrait un perpétuel
60,"observateurs , ces gens",PER,4,"Les observateurs , ces gens qui tiennent à"
60,comtesse,PER,1,"donnés par la comtesse , l ’"
60,personnage étrange,PER,2,d ’ un personnage étrange .
61,homme,PER,1,’ était un homme . La première
61,hôtel,FAC,1,"dans l ’ hôtel , ce fut"
61,salon,FAC,1,attiré vers le salon par la voix
62,dame placée près de la porte,PER,6,sa voisine une dame placée près de la porte .
63,inconnu,PER,1,"L ’ inconnu , qui se"
64,étranger,PER,1,de l ’ étranger .
65,"mon voisin , ce monsieur vêtu de noir",PER,8,"de penser que mon voisin , ce monsieur vêtu de noir qui vient de"
66,gens de la haute société,PER,5,exagération naturelle aux gens de la haute société fit naître et
67,vampire,PER,1,"être précisément un vampire , une goule"
67,goule,PER,1,"vampire , une goule , un homme"
67,homme artificiel,PER,2,"goule , un homme artificiel , une espèce"
67,Faust,PER,1,une espèce de Faust ou de Robin
67,Robin des bois,PER,3,"Faust ou de Robin des bois , il participait"
67,gens amis du fantastique,PER,4,"au dire des gens amis du fantastique , de toutes"
68,Allemands,PER,1,et là des Allemands qui prenaient pour
69,étranger,PER,1,L ’ étranger était simplement un
69,vieillard,PER,1,était simplement un vieillard . Plusieurs de
69,Plusieurs de ces jeunes hommes,PER,5,"un vieillard . Plusieurs de ces jeunes hommes , habitués à"
69,Europe,GPE,1,"de l ’ Europe , dans quelques"
69,inconnu,PER,1,en l ’ inconnu quelque grand criminel
69,"quelque grand criminel , possesseur d ’ immenses richesses",PER,9,"l ’ inconnu quelque grand criminel , possesseur d ’ immenses richesses ."
70,romanciers,PER,1,Des romanciers racontaient la vie
70,prince de Mysore,PER,3,au service du prince de Mysore .
71,"banquiers ,",PER,2,"Des banquiers , gens plus positifs"
71,gens plus positifs,PER,3,"Des banquiers , gens plus positifs , établissaient une"
74,homme,PER,1,’ est un homme sur la vie
75,magnétiseur,PER,1,"’ Espard un magnétiseur prouvant , par"
75,fameux Balsamo [ Coquille du Furne : Basalmo,PER,8,", était le fameux Balsamo [ Coquille du Furne : Basalmo ."
76,ce moderne alchimiste,PER,3,"Cagliostro . Selon ce moderne alchimiste , l ’"
76,aventurier sicilien,PER,2,", l ’ aventurier sicilien avait échappé à"
77,bailli de Ferette,PER,3,Enfin le bailli de Ferette prétendait avoir reconnu
77,comte de Saint - Germain,PER,5,singulier personnage le comte de Saint - Germain .
78,société sans croyances,ORG,3,", caractérise une société sans croyances , entretenaient de"
78,maison de Lanty,FAC,3,soupçons sur la maison de Lanty .
79,membres de cette famille,PER,4,"circonstances , les membres de cette famille justifiaient les conjectures"
79,monde,LOC,1,"les conjectures du monde , en tenant"
80,appartement,FAC,1,de l ’ appartement qu ’ il
80,hôtel de Lanty,FAC,3,"à l ’ hôtel de Lanty , son apparition"
80,famille,PER,1,sensation dans la famille .
81,Filippo,PER,1,"haute importance . Filippo , Marianina ,"
81,Marianina,PER,1,". Filippo , Marianina , madame de"
81,madame de Lanty,PER,3,", Marianina , madame de Lanty et un vieux"
81,vieux domestique,PER,2,Lanty et un vieux domestique avaient seuls le
81,inconnu,PER,1,"aider l ’ inconnu à marcher ,"
82,Chacun,PER,1,Chacun en surveillait les
82,personne enchantée,PER,2,ce fût une personne enchantée de qui dépendissent
82,tous,PER,1,la fortune de tous .
83,gens du monde,PER,3,affection ? Les gens du monde ne pouvaient découvrir
84,sanctuaire inconnu,FAC,2,"d ’ un sanctuaire inconnu , ce génie"
84,salons,FAC,1,au milieu des salons comme ces fées
85,observateurs les plus exercés,PER,4,Les observateurs les plus exercés pouvaient alors seuls
85,maîtres du logis,PER,3,"’ inquiétude des maîtres du logis , qui savaient"
86,trop naïve Marianina,PER,3,"quadrille , la trop naïve Marianina jetait un regard"
86,vieillard,PER,1,terreur sur le vieillard qu ’ elle
86,groupes,ORG,1,au sein des groupes .
87,foule,PER,1,"à travers la foule , pour le"
87,hommes,PER,1,le contact des hommes ou le moindre
88,comtesse,PER,1,La comtesse tâchait de s
88,vieillard,PER,1,"presque toujours le vieillard , il disparaissait"
89,comte,PER,1,"là , le comte employait mille stratagèmes"
89,enfant gâté,PER,2,traitait comme un enfant gâté dont la mère
89,mère,PER,1,gâté dont la mère écoute les caprices
90,comte de Lanty,PER,3,"questionner étourdiment le comte de Lanty , cet homme"
90,curieux,PER,1,’ interrogation des curieux .
91,tous les membres de cette famille,PER,6,"la circonspection de tous les membres de cette famille rendit vaines ,"
92,espions de bonne compagnie,PER,4,"Les espions de bonne compagnie , les gobe"
92,gobe - mouches,PER,3,"compagnie , les gobe - mouches et les politiques"
92,politiques,PER,1,"mouches et les politiques avaient fini ,"
93,fripons,PER,1,là sont des fripons .
94,assassin,PER,1,d ’ un assassin … — Ou
94,banqueroutier,PER,1,d ’ un banqueroutier … — C
95,homme,PER,1,"d ’ un homme , c ’"
98,société,ORG,1,vous comme la société est mêlée ici
101,être vivant,PER,2,ce soit un être vivant ? — Hé
102,inconnus,PER,1,", par des inconnus qui s ’"
103,jardins,FAC,1,sombre tableau des jardins .
104,jeune femme,PER,2,d ’ une jeune femme me réveilla .
106,Minerve de la tête de,PER,5,"avait jailli comme Minerve de la tête de Jupiter , grande"
106,Jupiter,PER,1,"la tête de Jupiter , grande et"
107,fou de sa loge,PER,4,", comme un fou de sa loge , le petit"
107,petit vieillard,PER,2,"loge , le petit vieillard s ’ était"
107,gens attentifs à la,PER,4,une haie de gens attentifs à la voix de Marianina
110,monde,LOC,1,au milieu du monde sans voir le
110,monde,LOC,1,sans voir le monde .
111,une des plus ravissantes femmes de Paris,PER,7,"auprès d ’ une des plus ravissantes femmes de Paris , danseuse élégante"
111,enfant,PER,1,"d ’ un enfant , blanches et"
111,homme,PER,1,regard d ’ homme semble devoir les
112,tous,PER,1,"devant moi , tous deux , ensemble"
112,étranger,PER,1,que l ’ étranger froissait et la
115,vieillard,PER,1,moi . Le vieillard ne voulut pas
115,gens extrêmement âgés,PER,3,"sont susceptibles les gens extrêmement âgés , et qui"
115,enfants,PER,1,ressembler à des enfants .
116,jeune dame,PER,2,"auprès de la jeune dame , il lui"
117,paralytique,PER,1,d ’ un paralytique .
120,jeune femme,PER,2,La jeune femme me pressa vivement
124,femmes,PER,1,qui pousse les femmes à se procurer
125,petit vieillard,PER,2,Quoique le petit vieillard eût le dos
125,journalier,PER,1,"d ’ un journalier , on s"
128,anatomiste,PER,1,Un anatomiste eût reconnu soudain
129,tombe,FAC,1,croix sur une tombe .
130,homme,PER,1,pour l ’ homme saisissait le cœur
131,inconnu,PER,1,L ’ inconnu portait un gilet
132,reine,PER,1,"enviée par une reine , formait des"
139,enfant,PER,1,"que jette un enfant , ou étoilées"
143,rivière,LOC,1,d ’ une rivière au cou d
143,femme,PER,1,d ’ une femme .
145,héritiers d ’ une duchesse,PER,5,robes que les héritiers d ’ une duchesse exhument de ses
146,vieillard,PER,1,Si le vieillard tournait les yeux
146,assemblée,ORG,1,"vers l ’ assemblée , il semblait"
147,jeune femme dont,PER,3,"humains , une jeune femme dont le cou ,"
149,monde,LOC,1,"souvent dans le monde , me dis"
150,cimetière,FAC,1,"Il sent le cimetière , s ’"
150,jeune femme épouvantée,PER,3,’ écria la jeune femme épouvantée qui me pressa
153,femmes,PER,1,hardiesse que les femmes puisent dans la
153,vieillard,PER,1,"eut touché le vieillard , elle entendit"
155,enfant,PER,1,"toux d ’ enfant , convulsive et"
156,Marianina,PER,1,"ce bruit , Marianina , Filippo et"
156,Filippo,PER,1,", Marianina , Filippo et madame de"
157,jeune femme,PER,2,La jeune femme aurait voulu être
157,fond de la Seine,LOC,4,voulu être au fond de la Seine .
160,appartements de réception,FAC,3,"au fond des appartements de réception , nous entrâmes"
160,petit cabinet demi - circulaire,FAC,5,entrâmes dans un petit cabinet demi - circulaire .
162,folle,PER,1,", vous êtes folle , lui dis"
164,revenants,PER,1,elle errer des revenants dans son hôtel
165,sots,PER,1,vous imitez les sots .
166,petit vieillard,PER,2,Vous prenez un petit vieillard pour un spectre
173,être si parfait,PER,3,— Un être si parfait existe - t
175,homme,PER,1,"beau pour un homme , ajouta -"
175,rivale,PER,1,d ’ une rivale .
176,poète,PER,1,à laquelle un poète avait essayé vainement
177,artistes,PER,1,", où les artistes exagèrent la beauté"
179,cette académie,FAC,2,vous saurez que cette académie a été faite
179,femme,PER,1,une statue de femme .
185,femme dont la robe frémissait,PER,5,"d ’ une femme dont la robe frémissait , retentit dans"
186,jeune Marianina,PER,2,"vîmes entrer la jeune Marianina , plus brillante"
186,salon de musique,FAC,3,fait fuir du salon de musique ; elle le
187,Tous deux,PER,2,"Tous deux , ils arrivèrent"
188,grand homme sec,PER,3,"magie , un grand homme sec , espèce de"
189,vieillard,PER,1,de confier le vieillard à ce gardien
189,jeune enfant,PER,2,"mystérieux , la jeune enfant baisa respectueusement le"
189,cadavre ambulant,PER,2,"baisa respectueusement le cadavre ambulant , et sa"
192,vieillard,PER,1,"Le vieillard , frappé subitement"
194,jeune folle,PER,2,La jeune folle se mit à
194,salon,FAC,1,"vivement vers le salon , où retentirent"
200,homme,PER,1,cœur d ’ homme le plus délicat
200,Parisienne,PER,1,d ’ une Parisienne joignez une âme
200,Italie,GPE,1,de l ’ Italie ou de l
200,Espagne,GPE,1,de l ’ Espagne … Elle vit
203,ravissantes femmes du Midi,PER,4,cœurs par les ravissantes femmes du Midi ?
209,jeune aide - de - camp,PER,6,"valser avec un jeune aide - de - camp , et je"
213,petit salon élégant,FAC,3,", dans un petit salon élégant , assis tous"
214,rue,LOC,1,La rue était silencieuse .
218,narrateur,PER,1,dangereux pour le narrateur .
220,seul fils d ’ un procureur de la Franche - Comté,PER,11,"Sarrasine était le seul fils d ’ un procureur de la Franche - Comté , repris -"
222,vieux maître Sarrasine,PER,3,"Le vieux maître Sarrasine , n ’"
222,enfant,PER,1,"qu ’ un enfant , ne voulut"
222,magistrat,PER,1,"en faire un magistrat , et vivre"
222,"petit - fils de Matthieu Sarrasine , laboureur au pays de Saint - Dié",PER,14,"jours , le petit - fils de Matthieu Sarrasine , laboureur au pays de Saint - Dié , s ’"
222,Parlement,ORG,1,grande gloire du Parlement ; mais le
222,procureur,PER,1,cette joie au procureur .
223,jeune Sarrasine,PER,2,"Le jeune Sarrasine , confié de"
223,Jésuites,PER,1,"bonne heure aux Jésuites , donna les"
224,homme de talent,PER,3,d ’ un homme de talent .
225,héros d ’,PER,3,se représenter les héros d ’ Homère .
225,Homère,PER,1,héros d ’ Homère .
227,camarade,PER,1,"élevait entre un camarade et lui ,"
231,révérend père,PER,2,il dessinait le révérend père qui leur expliquait
231,maître de mathématiques,PER,3,", croquait le maître de mathématiques , le préfet"
231,préfet,PER,1,"mathématiques , le préfet , les valets"
231,valets,PER,1,"préfet , les valets , le correcteur"
231,correcteur,PER,1,"valets , le correcteur , et barbouillait"
232,Seigneur,PER,1,les louanges du Seigneur à l ’
232,église,FAC,1,"à l ’ église , il s"
234,plus jeunes pères,PER,3,licencieux désespérait les plus jeunes pères ; et les
234,médisants,PER,1,; et les médisants prétendaient que les
234,vieux jésuites,PER,2,prétendaient que les vieux jésuites en souriaient .
235,confessionnal,FAC,1,"son tour au confessionnal , un vendredi"
236,artiste,PER,1,à l ’ artiste .
237,tabernacle,FAC,1,le haut du tabernacle cette figure passablement
238,refuge,FAC,1,à Paris un refuge contre les menaces
239,atelier de Bouchardon,FAC,3,dans l ’ atelier de Bouchardon .
241,jeune artiste,PER,2,"’ intelligence du jeune artiste , devina bientôt"
242,généreux Bouchardon,PER,2,"jeunesse , le généreux Bouchardon essaya de le"
242,vieux procureur,PER,2,bonnes grâces du vieux procureur .
243,sculpteur,PER,1,’ autorité du sculpteur célèbre le courroux
244,grand homme futur,PER,3,jour à un grand homme futur .
245,praticien,PER,1,"flattée , le praticien avare mit son"
245,monde,LOC,1,avantage dans le monde .
246,sculpture,PER,1,exigées par la sculpture domptèrent pendant long
249,maître,PER,1,", et le maître ne prit un"
251,"marquis de Marigny , le frère de madame de Pompadour",PER,10,"fondé par le marquis de Marigny , le frère de madame de Pompadour , qui fit"
252,chef - d ’ œuvre,PER,5,vanta comme un chef - d ’ œuvre la statue de
252,élève de Bouchardon,PER,3,de l ’ élève de Bouchardon .
253,sculpteur du roi,PER,3,douleur que le sculpteur du roi vit partir pour
253,Italie,GPE,1,pour l ’ Italie un jeune homme
253,jeune homme,PER,2,"’ Italie un jeune homme dont , par"
254,Sarrasine,PER,1,Sarrasine était depuis six
254,commensal de Bouchardon,PER,3,six ans le commensal de Bouchardon . Fanatique de
254,atelier,FAC,1,dans l ’ atelier pour n ’
255,Comédie - Française,ORG,3,"allait à la Comédie - Française , il y"
257,Sculpture,PER,1,"maîtresse que la Sculpture et Clotilde ,"
257,"Clotilde , l ’ une des célébrités de l ’ Opéra",PER,11,"la Sculpture et Clotilde , l ’ une des célébrités de l ’ Opéra ."
259,Sarrasine,PER,1,Sarrasine était assez laid
259,illustre nymphe,PER,2,"que l ’ illustre nymphe , redoutant quelque"
259,sculpteur,PER,1,rendit bientôt le sculpteur à l ’
262,Italie,GPE,1,pour l ’ Italie en 1758 .
263,Michel - Ange,PER,3,les noms de Michel - Ange et de monsieur
265,reine des ruines,PER,3,"aspect de la reine des ruines , quand ,"
265,théâtre d ’ Argentina,FAC,4,"il entra au théâtre d ’ Argentina , devant lequel"
265,grande foule,PER,2,se pressait une grande foule .
266,monde,PER,1,", et le monde répondit par deux"
267,Jomelli,PER,1,Jomelli ! « Il
267,parterre,FAC,1,"’ assied au parterre , pressé par"
267,deux abbati,PER,2,", pressé par deux abbati notablement gros ;"
268,baron d ’ Holbach,PER,4,une soirée du baron d ’ Holbach .
269,jeune sculpteur,PER,2,"Les sens du jeune sculpteur furent , pour"
273,salle,FAC,1,faire crouler la salle accueillirent l ’
273,prima donna,PER,2,scène de la prima donna .
274,théâtre,FAC,1,"le devant du théâtre , et salua"
274,public,PER,1,et salua le public avec une grâce
276,Sarrasine,PER,1,Sarrasine poussa des cris
276,"modèle , souvent ignoble",PER,4,"demandant à un modèle , souvent ignoble , les rondeurs"
276,jeune fille,PER,2,"d ’ une jeune fille , et les"
276,Grèce antique,GPE,2,créations de la Grèce antique .
277,Zambinella,PER,1,La Zambinella lui montrait réunies
277,sculpteur,PER,1,", desquelles un sculpteur est , tout"
277,juge le plus sévère et le plus passionné,PER,8,"fois , le juge le plus sévère et le plus passionné ."
279,peintre,PER,1,"eussent ravi un peintre , toutes les"
279,Vénus,GPE,1,les merveilles des Vénus révérées et rendues
279,ciseau des Grecs,FAC,3,rendues par le ciseau des Grecs .
280,artiste,PER,1,L ’ artiste ne se lassait
281,femme,PER,1,"qu ’ une femme , c ’"
281,chef - d ’ œuvre,PER,5,’ était un chef - d ’ œuvre !
282,critique,PER,1,de satisfaire un critique .
283,Sarrasine,PER,1,Sarrasine dévorait des yeux
284,Zambinella,PER,1,"Quand la Zambinella chanta , ce"
284,artiste,PER,1,. L ’ artiste eut froid ;
286,Sarrasine,PER,1,Sarrasine voulait s ’
286,théâtre,FAC,1,élancer sur le théâtre et s ’
288,homme froid et stupide,PER,4,d ’ un homme froid et stupide .
292,Zambinella,PER,1,"lui et la Zambinella , il la"
295,théâtre,FAC,1,de quitter le théâtre . Ses jambes
296,homme nerveux,PER,2,faible comme un homme nerveux qui s ’
298,convalescents,PER,1,qui désespèrent les convalescents au sortir d
299,marches d ’,FAC,3,asseoir sur les marches d ’ une église .
299,église,FAC,1,d ’ une église .
301,logis,FAC,1,"De retour au logis , il tomba"
303,Zambinella,PER,1,"feuille , la Zambinella se trouvait dans"
303,Raphaël,PER,1,", affectionnée par Raphaël , par le"
303,Giorgion,PER,1,", par le Giorgion et par tous"
303,tous les grands peintres,PER,4,Giorgion et par tous les grands peintres .
305,maîtresse,PER,1,fortement à une maîtresse .
307,Zambinella,PER,1,"Il voyait la Zambinella , lui parlait"
308,loge,FAC,1,"saison , une loge voisine de la"
312,Zambinella,PER,1,"à copier la Zambinella , malgré les"
313,Turc enivré d ’ opium,PER,5,"semblable à un Turc enivré d ’ opium , un bonheur"
315,farouche sculpteur,PER,2,"reste , le farouche sculpteur ne souffrait pas"
317,Zambinella,PER,1,"où demeurait la Zambinella , savoir si"
317,mère,PER,1,"elle avait une mère , un oncle"
317,oncle,PER,1,"mère , un oncle , un tuteur"
317,tuteur,PER,1,"oncle , un tuteur , une famille"
317,famille,PER,1,"tuteur , une famille ; en songeant"
318,Marianina,PER,1,vois encore ni Marianina ni son petit
319,auteur,PER,1,impatienté comme un auteur auquel on fait
320,chacun,PER,1,"au spectacle , chacun y assiste pour"
321,sculpteur,PER,1,la frénésie du sculpteur ne devait pas
321,chanteurs,PER,1,aux regards des chanteurs et des cantatrices
321,cantatrices,PER,1,chanteurs et des cantatrices .
322,Français,PER,1,"soir , le Français s ’ aperçut"
323,Zambinella,PER,1,", si la Zambinella n ’ était"
324,femmes,PER,1,choses que les femmes ne le veulent
325,Sarrasine,PER,1,une révélation . Sarrasine était aimé !
328,artiste,PER,1,de l ’ artiste .
329,vieille femme,PER,2,ouvrit . Une vieille femme entra mystérieusement .
329,rue du Corso,LOC,3,"vous dans la rue du Corso , devant l"
329,hôtel d ’ Espagne,FAC,4,devant l ’ hôtel d ’ Espagne .
331,Zambinella,PER,1,"intelligence à la Zambinella , qui baissa"
331,femme heureuse d ’ être,PER,5,paupières comme une femme heureuse d ’ être enfin comprise .
333,théâtre,FAC,1,"En sortant du théâtre , un inconnu"
333,inconnu,PER,1,"théâtre , un inconnu l ’ arrêta"
335,cardinal Cicognara,PER,2,mort . Le cardinal Cicognara est son protecteur
336,démon,PER,1,Quand un démon aurait mis entre
336,Sarrasine,PER,1,aurait mis entre Sarrasine et la Zambinella
336,Zambinella,GPE,1,Sarrasine et la Zambinella les profondeurs de
337,sculpteur,PER,1,’ amour du sculpteur avait franchi en
338,maison,FAC,1,"sortir de la maison , j ’"
339,Poverino,PER,1,— Poverino ! s ’
339,inconnu,PER,1,écria l ’ inconnu en disparaissant .
340,amoureux,PER,1,"danger à un amoureux , n ’"
341,laquais de Sarrasine,PER,3,Jamais le laquais de Sarrasine n ’ avait
342,jeune fille,PER,2,para comme une jeune fille qui doit se
343,vieille,PER,1,donné par la vieille .
344,duègne,PER,1,La duègne attendait . —
345,Français,PER,1,Elle entraîna le Français dans plusieurs petites
345,palais d ’ assez belle apparence,FAC,6,arrêta devant un palais d ’ assez belle apparence .
346,labyrinthe d ’ escaliers,FAC,4,"à travers un labyrinthe d ’ escaliers , de galeries"
346,galeries,FAC,1,"escaliers , de galeries et d ’"
346,appartements,FAC,1,et d ’ appartements qui n ’
347,vieille,PER,1,"mot de la vieille , il fut"
347,salon aussi brillamment éclairé,FAC,4,trouva dans un salon aussi brillamment éclairé que somptueusement meublé
348,chanteurs et,PER,2,Il reconnut les chanteurs et les cantatrices du
348,femmes charmantes,PER,2,"mêlés à des femmes charmantes , tous prêts"
348,orgie d ’ artistes,PER,4,à commencer une orgie d ’ artistes qui n ’
350,chambre mal éclairée,FAC,3,"avait espéré une chambre mal éclairée , sa maîtresse"
350,brasier,FAC,1,"d ’ un brasier , un jaloux"
350,Zambinella,PER,1,cheveux de la Zambinella eussent caressé son
352,Signori e belle donne,PER,4,"Signori e belle donne , vous me"
352,pauvre sculpteur,PER,2,vous accueillez un pauvre sculpteur .
353,plupart des personnes présentes,PER,4,"affectueux de la plupart des personnes présentes , qu ’"
353,bergère,FAC,1,approcher de la bergère sur laquelle la
353,Zambinella,FAC,1,sur laquelle la Zambinella était nonchalamment étendue
354,femmes,PER,1,au pied des femmes une expression si
354,hommes,PER,1,pas comment les hommes y pouvaient résister
355,Louis XV,PER,2,du règne de Louis XV ont peut -
355,Europe,GPE,1,démoraliser l ’ Europe et le clergé
355,clergé,ORG,1,Europe et le clergé .
356,marquise,PER,1,! dit la marquise . Vous n
357,Zambinella,PER,1,"— La Zambinella , repris -"
362,sculpteur,PER,1,"sourit gracieusement au sculpteur . Sarrasine ,"
362,Sarrasine,PER,1,"au sculpteur . Sarrasine , tout mécontent"
363,"Vitagliani , le chanteur le plus célèbre de la troupe",PER,10,"? lui dit Vitagliani , le chanteur le plus célèbre de la troupe ."
364,seul rival,PER,2,avez pas un seul rival à craindre ici
365,Ténor,PER,1,"parlé , le Ténor sourit silencieusement ."
365,amoureux,PER,1,’ apercevoir un amoureux .
367,courtisane,PER,1,"était presque une courtisane , et qu"
367,jeune fille,PER,2,d ’ une jeune fille chose si délicieuse
367,femme de théâtre,PER,3,par lesquels une femme de théâtre fait acheter les
369,Sarrasine,PER,1,Sarrasine et la Zambinella
369,un,PER,1,côté l ’ un de l ’
369,autre,PER,1,de l ’ autre .
370,artistes,PER,1,"festin , les artistes gardèrent quelque mesure"
370,sculpteur,PER,1,", et le sculpteur put causer avec"
370,cantatrice,PER,1,causer avec la cantatrice .
374,cette organisation féminine,ORG,3,tressaillement involontaire de cette organisation féminine fut interprété par
374,amoureux artiste,PER,2,par l ’ amoureux artiste comme l ’
375,Français,PER,1,faiblesse charma le Français . Il entre
375,homme,PER,1,d ’ un homme !
378,Sarrasine,PER,1,"Sarrasine , trop passionné"
378,belle Italienne,PER,2,"galanteries à la belle Italienne , était ,"
379,convives,PER,1,"parût écouter les convives , il n"
380,Zambinella,PER,1,dans laquelle la Zambinella se tint avec
381,première,PER,1,bien commencé la première à lui presser
381,femme libre et amoureuse,PER,4,d ’ une femme libre et amoureuse ; mais soudain
381,jeune fille,PER,2,"une modestie de jeune fille , après avoir"
382,convives,PER,1,"orgie , les convives se mirent à"
383,Calabre,GPE,1,"airs de la Calabre , des seguidilles"
385,assemblées de,ORG,2,"connaissent que les assemblées de Paris , les"
386,sainte Vierge,PER,2,invocations à la sainte Vierge ou al Bambino
386,Bambino,PER,1,Vierge ou al Bambino .
387,un,PER,1,L ’ un se coucha sur
388,jeune fille,PER,2,Une jeune fille écoutait une déclaration
389,Zambinella,PER,1,"désordre , la Zambinella , comme frappée"
390,femmes,PER,1,grâce chez les femmes .
396,salon,FAC,1,"qui communiquait au salon , et sur"
397,Italienne,PER,1,L ’ Italienne était armée d
401,jeune courtisane,PER,2,"agirais comme une jeune courtisane , qui aiguise"
402,Français,PER,1,la violence du Français .
403,Sarrasine,PER,1,"Sarrasine , qui n"
403,dévot,PER,1,"’ était pas dévot , se prit"
404,Zambinella,PER,1,La Zambinella bondit comme un
404,salle du festin,FAC,3,élança dans la salle du festin .
406,Zambinella,PER,1,Il vit la Zambinella évanouie sur un
408,sculpteur,PER,1,étrange rendit le sculpteur tout confus .
410,femmes,PER,1,interprète que les femmes refusent rarement de
411,convives,PER,1,"matin surprirent les convives , une femme"
411,femme,PER,1,"convives , une femme proposa d ’"
412,Tous,PER,1,Tous accueillirent par de
412,villa Ludovisi,FAC,2,journée à la villa Ludovisi .
413,voitures,VEH,1,pour louer des voitures . Sarrasine eut
413,Zambinella,PER,1,de conduire la Zambinella dans un phaéton
413,phaéton,FAC,1,Zambinella dans un phaéton .
414,chacun,PER,1,les combats que chacun avait livrés au
415,tous,PER,1,"et femmes , tous paraissaient habitués à"
415,artiste,PER,1,entraînement d ’ artiste qui fait de
416,compagne du sculpteur,PER,3,La compagne du sculpteur était la seule
417,malade,PER,1,Êtes - vous malade ? lui dit
422,artiste,PER,1,"écria l ’ artiste , et que"
424,Français,PER,1,"Mais vous êtes Français , et votre"
427,hommes,PER,1,’ abhorre les hommes encore plus peut
427,femmes,PER,1,ne hais les femmes .
429,monde,LOC,1,Le monde est désert pour
429,créature maudite,PER,2,"Je suis une créature maudite , condamnée à"
429,tant d ’ autres,PER,4,"et , comme tant d ’ autres , forcée à"
430,seigneur,PER,1,"- vous , seigneur , que je"
431,ami dévoué pour vous,PER,4,"puis être un ami dévoué pour vous , car j"
432,frère,PER,1,"d ’ un frère , d ’"
